Year,Site,Habitat,Non-Herbivore Biomass,Herbivore Biomass
2008,5,FR,9067.350000000004,8078.609999999999
2008,6,BA,9044.430000000008,6537.560000000001
2008,6,FO,12529.739999999989,12040.17
2008,6,FR,20251.129999999994,9049.860000000002
2009,1,BA,27482.059999999998,12311.31
2009,1,FO,54297.080000000016,48293.91999999999
2009,1,FR,41229.45000000001,10291.85
2009,2,BA,11450.360000000002,9527.189999999995
2009,2,FO,51742.24000000004,56895.26999999999
2009,2,FR,20378.07,15018.72
2009,3,BA,46615.15000000001,5238.830000000002
2009,3,FO,57155.65999999998,32270.70999999998
2009,3,FR,30891.189999999988,6959.880000000001
2009,4,BA,63421.32000000001,8151.290000000001
2009,4,FO,38734.31999999997,22498.94
2009,4,FR,23709.719999999998,5944.159999999999
2009,5,BA,23840.429999999993,11215.669999999998
2009,5,FO,163281.90000000005,23601.129999999986
2009,5,FR,9408.189999999995,6135.190000000002
2009,6,BA,13952.900000000001,8210.770000000002
2009,6,FO,52207.9,33304.75999999998
2009,6,FR,14046.280000000004,6238.340000000003
2010,1,BA,7361.130000000006,12530.880000000003
2010,1,FO,48063.20999999998,38323.36999999999
2010,1,FR,22191.239999999987,10828.130000000003
2010,2,BA,7565.340000000004,21458.120000000006
2010,2,FO,25469.66,76835.51999999999
2010,2,FR,17173.620000000003,16661.96
2010,3,BA,27376.22999999999,7105.5199999999995
2010,3,FO,93016.19000000002,30455.769999999997
2010,3,FR,12583.669999999995,12236.240000000005
2010,4,BA,4575.380000000002,4519.460000000001
2010,4,FO,56870.73000000002,21479.33999999999
2010,4,FR,19243.780000000002,3838.4900000000007
2010,5,BA,7820.970000000001,17622.429999999997
2010,5,FO,19924.36,18546.240000000013
2010,5,FR,14531.120000000003,11898.240000000007
2010,6,BA,9708.540000000006,11257.590000000004
2010,6,FO,20279.769999999968,31736.620000000006
2010,6,FR,16200.779999999997,17458.919999999995
2011,1,BA,4019.619999999998,13668.550000000001
2011,1,FO,22864.900000000005,21656.67
2011,1,FR,21029.859999999993,13120.810000000003
2011,2,BA,7853.0599999999995,24966.689999999995
2011,2,FO,29876.51000000001,36583.01999999998
2011,2,FR,21711.14999999998,21204.559999999994
2011,3,BA,5826.350000000001,9417.110000000002
2011,3,FO,46403.130000000034,30876.53999999999
2011,3,FR,16059.810000000003,14969.290000000003
2011,4,BA,4522.300000000001,5722.310000000001
2011,4,FO,44849.44000000001,24008.199999999986
2011,4,FR,13071.929999999998,5964.71
2011,5,BA,8177.3,13592.950000000003
2011,5,FO,20117.909999999985,14335.810000000001
2011,5,FR,44997.61999999997,14502.11
2011,6,BA,6598.160000000005,12246.099999999995
2011,6,FO,27552.670000000002,33300.56
2011,6,FR,20625.820000000003,12605.199999999995
2012,1,BA,17247.759999999984,15274.489999999998
2012,1,FO,45697.23999999997,20359.24
2012,1,FR,13355.44000000001,16188.839999999993
2012,2,BA,5488.31,15034.58
2012,2,FO,20831.629999999994,38731.73999999999
2012,2,FR,11937.550000000001,19555.94
2012,3,BA,13238.95,8805.000000000002
2012,3,FO,13437.820000000003,29355.58
2012,3,FR,19977.13,7705.230000000001
2012,4,BA,14465.210000000005,8473.840000000002
2012,4,FO,15789.040000000005,16072.899999999998
2012,4,FR,20947.8,4598.100000000001
2012,5,BA,89040.76000000007,13255.560000000001
2012,5,FO,28197.819999999992,13571.12
2012,5,FR,51701.560000000005,11106.909999999998
2012,6,BA,16924.019999999997,9856.560000000001
2012,6,FO,37103.63,25525.68999999999
2012,6,FR,15486.409999999982,17148.389999999992
2013,1,BA,10624.320000000005,13180.859999999993
2013,1,FO,22273.12000000002,40938.85000000001
2013,1,FR,68650.35000000002,15748.469999999994
2013,2,BA,7027.350000000001,12862.58
2013,2,FO,19882.270000000008,61145.52999999996
2013,2,FR,18623.059999999998,13792.040000000006
2013,3,BA,38572.73,11925.059999999996
2013,3,FO,53031.39999999994,64497.76
2013,3,FR,35985.13000000002,11128.810000000003
2013,4,BA,31497.049999999992,8044.979999999998
2013,4,FO,24564.980000000003,30962.34
2013,4,FR,36402.14999999995,5271.259999999999
2013,5,BA,129205.77000000006,39222.49000000001
2013,5,FO,35195.97,25853.94
2013,5,FR,22281.340000000004,15822.179999999998
2013,6,BA,7150.950000000003,21777.390000000003
2013,6,FO,83117.47000000009,81309.24999999997
2013,6,FR,20704.200000000008,18094.689999999995
2014,1,BA,10892.939999999999,25380.95999999999
2014,1,FO,19381.76999999998,27618.139999999985
2014,1,FR,44767.13000000002,27616.759999999984
